        Time                X1                X2                DX        Collision
   10.000000   -8.68960393e-17    2.50000000e+01                 3 [ -8.68960393e-17-4.32855699e-160.00000000e+00 ]                 01
   20.000000   -4.05828779e-16    2.50000000e+01                 3 [ -4.05828779e-16-1.68875656e-150.00000000e+00 ]                 01
   30.000000    3.11697976e-16    2.50000000e+01                 3 [ 3.11697976e-162.77405385e-160.00000000e+00 ]                 01
   40.000000   -7.40161843e-16    2.50000000e+01                 3 [ -7.40161843e-16-9.04348135e-160.00000000e+00 ]                 01
   50.000000    8.29274473e-16    2.50000000e+01                 3 [ 8.29274473e-161.98885623e-150.00000000e+00 ]                 01
   60.000000    9.98884828e-16    2.50000000e+01                 3 [ 9.98884828e-161.19822738e-160.00000000e+00 ]                 01
   70.000000    3.65386510e-16    2.50000000e+01                 3 [ 3.65386510e-16-1.19276206e-150.00000000e+00 ]                 01
   80.000000    2.23856208e-15    2.50000000e+01                 3 [ 2.23856208e-153.25464535e-160.00000000e+00 ]                 01
   90.000000    1.06342145e-15    2.50000000e+01                 3 [ 1.06342145e-15-3.95963558e-160.00000000e+00 ]                 01
  100.000000    4.23397434e-16    2.50000000e+01                 3 [ 4.23397434e-167.40191389e-160.00000000e+00 ]                 01
  110.000000    1.53558737e-15    2.50000000e+01                 3 [ 1.53558737e-152.43892879e-160.00000000e+00 ]                 01
  120.000000   -1.06913530e-15    2.50000000e+01                 3 [ -1.06913530e-151.34341859e-160.00000000e+00 ]                 01
  130.000000    2.62623782e-15    2.50000000e+01                 3 [ 2.62623782e-151.72118906e-150.00000000e+00 ]                 01
  140.000000   -2.39583820e-17    2.50000000e+01                 3 [ -2.39583820e-17-9.56940429e-160.00000000e+00 ]                 01
  150.000000   -7.93830653e-16    2.50000000e+01                 3 [ -7.93830653e-161.49325200e-160.00000000e+00 ]                 01
  160.000000   -5.89635271e-16    2.50000000e+01                 3 [ -5.89635271e-16-1.36902193e-150.00000000e+00 ]                 01
  170.000000   -1.66652403e-16    2.50000000e+01                 3 [ -1.66652403e-161.24382605e-160.00000000e+00 ]                 01
  180.000000    1.12069215e-15    2.50000000e+01                 3 [ 1.12069215e-151.09828611e-150.00000000e+00 ]                 01
  190.000000    8.17029781e-15    2.50000000e+01                 3 [ 8.17029781e-15-3.58492408e-160.00000000e+00 ]                 01
  200.000000    5.36734400e-11    2.50000000e+01                 3 [ 5.36734400e-116.67588210e-160.00000000e+00 ]                 01
  210.000000    3.95441188e-08    2.50000000e+01                 3 [ 3.95441188e-08-1.48055694e-150.00000000e+00 ]                 01
  220.000000    9.70192874e-06    2.50000000e+01                 3 [ 9.70192874e-06-1.35925267e-160.00000000e+00 ]                 01
  230.000000    5.88980836e-04    2.50000027e+01                 3 [ 5.88980836e-04-2.97050778e-150.00000000e+00 ]                 01
  240.000000    9.96467210e-03    2.50000820e+01                 3 [ 9.96467210e-035.86266655e-160.00000000e+00 ]                 01
  250.000000    5.75420662e-02    2.50009591e+01                 3 [ 5.75420662e-022.10965414e-160.00000000e+00 ]                 01
  260.000000    1.58312905e-01    2.50054345e+01                 3 [ 1.58312905e-01-1.61504111e-150.00000000e+00 ]                 01
  270.000000    2.79113600e-01    2.50188959e+01                 3 [ 2.79113600e-011.18031197e-120.00000000e+00 ]                 01
  280.000000    3.73131323e-01    2.50476112e+01                 3 [ 3.73131323e-011.83362494e-110.00000000e+00 ]                 01
  290.000000    3.82898761e-01    2.50962228e+01                 3 [ 3.82898761e-011.54519378e-110.00000000e+00 ]                 01
  300.000000    2.23926765e-01    2.51643813e+01                 3 [ 2.23926765e-016.67596274e-120.00000000e+00 ]                 01
  310.000000   -1.61828577e-02    2.52435132e+01                 3 [ -1.61828577e-02-1.90439203e-110.00000000e+00 ]                 01
  320.000000   -1.80994953e-01    2.53215115e+01                 3 [ -1.80994953e-01-4.54002209e-110.00000000e+00 ]                 01
  330.000000   -2.28208025e-01    2.53900076e+01                 3 [ -2.28208025e-01-6.52886017e-110.00000000e+00 ]                 01
  340.000000   -1.22658034e-01    2.54470188e+01                 3 [ -1.22658034e-01-6.44155226e-110.00000000e+00 ]                 01
  350.000000    7.47281782e-02    2.54985472e+01                 3 [ 7.47281782e-02-6.12644295e-110.00000000e+00 ]                 01
  360.000000    1.18898427e-01    2.55537019e+01                 3 [ 1.18898427e-01-7.19605670e-110.00000000e+00 ]                 01
  370.000000    6.64372183e-02    2.56148062e+01                 3 [ 6.64372183e-02-4.69879183e-110.00000000e+00 ]                 01
  380.000000   -2.93790133e-02    2.56790298e+01                 3 [ -2.93790133e-02-1.28582715e-110.00000000e+00 ]                 01
  390.000000   -1.45662130e-01    2.57412073e+01                 3 [ -1.45662130e-012.60260694e-110.00000000e+00 ]                 01
  400.000000   -2.32301870e-01    2.57953429e+01                 3 [ -2.32301870e-016.25703614e-110.00000000e+00 ]                 01
  410.000000   -2.43434257e-01    2.58371815e+01                 3 [ -2.43434257e-016.27228251e-110.00000000e+00 ]                 01
  420.000000   -1.97056176e-01    2.58662862e+01                 3 [ -1.97056176e-014.32134484e-120.00000000e+00 ]                 01
  430.000000   -1.61912123e-01    2.58848658e+01                 3 [ -1.61912123e-01-8.75695456e-120.00000000e+00 ]                 01
  440.000000   -1.48896273e-01    2.58947034e+01                 3 [ -1.48896273e-012.77282752e-110.00000000e+00 ]                 01
  450.000000   -1.38004164e-01    2.58965544e+01                 3 [ -1.38004164e-01-3.53486374e-110.00000000e+00 ]                 01
  460.000000   -1.16393569e-01    2.58910798e+01                 3 [ -1.16393569e-01-3.94327106e-110.00000000e+00 ]                 01
  470.000000   -7.29166959e-02    2.58795513e+01                 3 [ -7.29166959e-02-1.58625038e-110.00000000e+00 ]                 01
  480.000000   -1.10967537e-02    2.58643806e+01                 3 [ -1.10967537e-021.90458269e-110.00000000e+00 ]                 01
  490.000000    4.38074700e-02    2.58487628e+01                 3 [ 4.38074700e-021.59062517e-110.00000000e+00 ]                 01
  500.000000    9.18174700e-02    2.58356350e+01                 3 [ 9.18174700e-021.26864526e-110.00000000e+00 ]                 01
  510.000000    1.22396843e-01    2.58275039e+01                 3 [ 1.22396843e-014.20322773e-120.00000000e+00 ]                 01
  520.000000    1.07944789e-01    2.58257604e+01                 3 [ 1.07944789e-01-1.15415948e-110.00000000e+00 ]                 01
  530.000000    6.54655918e-02    2.58295816e+01                 3 [ 6.54655918e-02-1.18778959e-110.00000000e+00 ]                 01
  540.000000    3.29907827e-02    2.58368541e+01                 3 [ 3.29907827e-02-3.46411025e-110.00000000e+00 ]                 01
  550.000000    1.01856722e-02    2.58458614e+01                 3 [ 1.01856722e-02-4.17816281e-110.00000000e+00 ]                 01
  560.000000   -1.43794822e-02    2.58553250e+01                 3 [ -1.43794822e-02-3.21003810e-110.00000000e+00 ]                 01
  570.000000   -3.29112392e-02    2.58639702e+01                 3 [ -3.29112392e-02-1.94520668e-110.00000000e+00 ]                 01
  580.000000   -3.37432029e-02    2.58708995e+01                 3 [ -3.37432029e-022.02377286e-110.00000000e+00 ]                 01
  590.000000   -1.89236322e-02    2.58761117e+01                 3 [ -1.89236322e-025.68777832e-110.00000000e+00 ]                 01
  600.000000    6.15870286e-03    2.58804176e+01                 3 [ 6.15870286e-037.68940339e-110.00000000e+00 ]                 01
  610.000000    3.63568754e-02    2.58851732e+01                 3 [ 3.63568754e-026.03476507e-110.00000000e+00 ]                 01
  620.000000    5.58224154e-02    2.58919178e+01                 3 [ 5.58224154e-021.44205074e-110.00000000e+00 ]                 01
  630.000000    5.30276055e-02    2.59015844e+01                 3 [ 5.30276055e-02-3.05980270e-110.00000000e+00 ]                 01
  640.000000    3.84359607e-02    2.59140122e+01                 3 [ 3.84359607e-02-3.71268048e-110.00000000e+00 ]                 01
